,Slang,Formal
9192,yg,yang
9193,pengen,pengin
9194,kmu,kamu
9195,gw,gue
9196,gk,enggak
9197,ngapain,mengapai
9198,syng,sayang
9199,nyanyiin,menyanyikan
9200,tuhh,tuh
9201,amatt,amat
9202,ngk,enggak
9203,gt,begitu
9204,tetep,tetap
9205,gokilll,gila
9206,gantenggg,ganteng
9207,astagaaaa,astaga
9208,hancuuuuuy,hancur
9209,mattihhh,mati
9210,aja,saja
9211,kaka,kakak
9212,kaka,kakak
9213,pake,pakai
9214,gak,enggak
9215,nyesel,menyesal
9216,ka,kak
9217,beudd,banget
9218,termiribkan,termiripkan
9219,utk,untuk
9220,u,lu
9221,ga,enggak
9222,cb,coba
9223,dlu,dulu
9224,dngerin,mendengarkan
9225,brrti,berarti
9226,dngerin,mendengarkan
9227,wenakk,enak
9228,gimana,bagaimana
9229,tetep,tetap
9230,nganteng,ganteng
9231,abanggg,abang
9232,seksii,seksi
9233,gtuh,begitu
9234,jadii,jadi
9235,emeezzz,gemas
9236,ama,sama
9237,amohhh,kamu
9238,maau,mau
9239,eyke,aku
9240,gilakkkkk,gila
9241,awk,awak
9242,duhhhhh,duh
9243,wowww,wow
9244,kerennn,keren
9245,kaka,kakak
9246,liaatt,lihat
9247,iniiiii,ini
9248,aloh,allah
9249,bnget,banget
9250,ngettt,banget
9251,bangeett,banget
9252,bgt,banget
9253,mirippp,mirip
9254,mukax,mukanya
9255,"sama""",sama-sama
9256,mba,mbak
9257,msh,masih
9258,aja,saja
9259,kyak,kayak
9260,maso,masa
9261,dpn,depan
9262,ngeliatnya,melihatnya
9263,skli,sekali
9264,kk,kakak
9265,kk,kakak
9266,gk,enggak
9267,brubah,berubah
9268,udah,sudah
9269,y,ya
9270,pelastik,plastik
9271,keak,kayak
9272,y,ya
9273,bg,bang
9274,dengerin,dengarkan
9275,liatnya,lihatnya
9276,beud,banget
9277,pahamin,pahami
9278,cntk,cantik
9279,makasih,terima kasih
9280,emg,memang
9281,gitu,begitu
9282,lg,lagi
9283,aja,saja
9284,liatnya,lihatnya
9285,ky,kaya
9286,gini,begini
9287,yah,ya
9288,takuuuuut,takut
9289,ahahahanjirrr,anjir
9290,dasyat,dahsyat
9291,jogetin,berjoget
9292,shaay,say
9293,boker,berak
9294,boker,berak
9295,gk,enggak
9296,yg,yang
9297,lbih,lebih
9298,ga,enggak
9299,nyangka,menyangka
9300,beneran,benaran
9301,hub,hubungi
9302,gitu,begitu
9303,gk,enggak
9304,nyambung,menyambung
9305,pacarnyaa,pacarnya
9306,siapaa,siapa
9307,inii,ini
9308,matii,mati
9309,ketawaa,ketawa
9310,klo,kalo
9311,nda,indak
9312,nda,indak
9313,d,di
9314,sdh,sudah
9315,makasih,terima kasih
9316,njir,anjir
9317,ngakak,mengakak
9318,taekk,tahi
9319,wanjiir,anjir
9320,ni,ini
9321,dmna,dimana
9322,mw,mau
9323,jg,juga
9324,trus,terus
9325,bw,bawa
9326,pengen,pengin
9327,dh,deh
9328,pingin,pengin
9329,jgn,jangan
9330,mauuuuu,mau
9331,minta,meminta
9332,mauuu,mau
9333,leh,boleh
9334,bnran,benaran
9335,tp,tapi
9336,g,enggak
9337,kk,kakak
9338,kk,kakak
9339,y,ya
9340,smua,semua
9341,kk,kakak
9342,tu,itu
9343,sgla,segala
9344,uitnya,duitnya
9345,k,kak
9346,kmrn,kemarin
9347,beliiin,belikan
9348,yaaah,ya
9349,macem2,macam-macam
9350,lucuuuu,lucu
9351,beliin,belikan
9352,sm,sama
9353,yg,yang
9354,tetep,tetap
9355,emang,memang
9356,emang,memang
9357,sampe,sampai
9358,ga,enggak
9359,nyangka,menyangka
9360,sekaeang,sekarang
9361,udah,sudah
9362,buktiin,membuktikan
9363,yg,yang
9364,ngebuktiin,membuktikan
9365,bgt,banget
9366,liat,lihat
9367,kyk,kayak
9368,gini,begini
9369,itungan,hitungan
9370,aja,saja
9371,tgk,tengok
9372,mo,mau
9373,tgk,tengok
9374,gak,enggak
9375,nyangka,menyangka
9376,kageet,kaget
9377,makasi,terima kasih
9378,say,sayang
9379,sma,sama
9380,ga,enggak
9381,ilang2,hilang-hilang
9382,bkn,bikin
9383,ga,enggak
9384,jga,juga
9385,bgt,banget
9386,yu,yuk
9387,tanyain,tanyakan
9388,mslh,masalah
9389,kmi,kami
9390,kepoin,kepoi
9391,ga,enggak
9392,nyoba,mencoba
9393,wihh,wih
9394,beneran,benaran
9395,yah,ya
9396,yu,yuk
9397,aja,saja
9398,aja,saja
9399,hub,hubungi
9400,yu,yuk
9401,aja,saja
9402,aja,saja
9403,hub,hubungi
9404,yu,yuk
9405,aja,saja
9406,aja,saja
9407,hub,hubungi
9408,bgt,banget
9409,ga,enggak
9410,yg,yang
9411,"artis""",artis-artis
9412,klu,kalau
9413,jatuhnyaa,jatuhnya
9414,kka,kakak
9415,kk,kakak
9416,gini,begini
9417,gak,enggak
9418,kerjaan,pekerjaan
9419,tambahin,tambahkan
9420,aja,saja
9421,banyakin,membanyaki
9422,udah,sudah
9423,elo,lo
9424,aja,saja
9425,gak,enggak
9426,emang,memang
9427,nambah,bertambah
9428,aja,saja
9429,yg,yang
9430,tipu2nya,tipu-tipunya
9431,doaang,doang
9432,yaa,ya
9433,dech,deh
9434,baget,banget
9435,bat,banget
9436,kk,kakak
9437,gini,begini
9438,ny,nya
9439,gituan,begituan
9440,lucuuu,lucu
9441,tpii,tapi
9442,ap,apa
9443,bgt,banget
9444,lucuu,lucu
9445,kaj,kak
9446,lcu,lucu
9447,bngt,banget
9448,ap,apa
9449,tu,itu
9450,ajah,saja
9451,wahhhhhh,wah
9452,bngt,banget
9453,bingittzz,banget
9454,kl,kalo
9455,bgt,banget
9456,lucuuu,lucu
9457,lucuu,lucu
9458,iiiiiiiii,ih
9459,lucuuu,lucu
9460,kaliiiiiii,kali
9461,ihhh,ih
9462,cantikkkk,cantik
9463,cantikkkk,cantik
9464,melebihin,melebihi
9465,apaa,apa
9466,pengen,pengin
9467,pengen,pengin
9468,gakpapa,enggak apa-apa
9469,kalogak,kalo enggak
9470,gak,enggak
9471,kaka,kakak
9472,donk,dong
9473,ka,kak
9474,kaka,kakak
9475,kaaa,kak
9476,sm2,sama-sama
9477,km,kamu
9478,bgt,banget
9479,bgt,banget
9480,akn,akan
9481,ndukung,mendukung
9482,pengen,pengin
9483,gk,enggak
9484,aminnnnn,amin
9485,ka,kak
9486,make,memakai
9487,kaaaaa,kak
9488,aamiinnn,amin
9489,smga,semoga
9490,slalu,selalu
9491,skluarga,sekeluarga
9492,daah,dah
9493,suaminga,suaminya
9494,udah,sudah
9495,berhijap,berhijab
9496,smgaa,semoga
9497,istiqamah,istikamah
9498,aamiin,amin
9499,cuaaantikk,cantik
9500,udah,sudah
9501,cantikk,cantik
9502,yah,ya
9503,rb,ribu
9504,muraaaaah,murah
9505,rb,ribu
9506,aja,saja
9507,gk,enggak
9508,aamiin,amin
9509,mba,mbak
9510,yukk,yuk
9511,baraang,barang
9512,aamiiin,amin
9513,udh,sudah
9514,aamiin,amin
9515,bets,banget
9516,aamiin,amin
9517,seneng,senang
9518,kaka,kakak
9519,ka,kak
9520,bgt,banget
9521,smga,semoga
9522,kaka,kakak
9523,aamiin,amin
9524,aamiin,amin
9525,yaa,ya
9526,yaaa,ya
9527,cantiknyaaa,cantiknya
9528,amiiin,amin
9529,aamiin,amin
9530,aamiin,amin
9531,yg,yang
9532,gk,enggak
9533,pake,pakai
9534,lbh,lebih
9535,mba,mbak
9536,bgt,banget
9537,pake,pakai
9538,alhamdulillaaaaah,alhamdulillah
9539,istiqamah,istikamah
9540,yah,ya
9541,makasi,terima kasih
9542,uda,sudah
9543,sembuhin,menyembuhkan
9544,bener,benar
9545,aamiin,amin
9546,tetep,tetap
9547,kaaa,kak
9548,fto,foto
9549,d,di
9550,z,saja
9551,ad,ada
9552,yg,yang
9553,bkin,bikin
9554,pengrusak,perusak
9555,pngn,pengin
9556,ngoceh,mengoceh
9557,ni,ini
9558,aduhhh,aduh
9559,hpus,hapus
9560,fto,foto
9561,pjang,pajang
9562,msh,masih
9563,bdampingan,berdampingan
9564,sm,sama
9565,org,orang
9566,yg,yang
9567,sdh,sudah
9568,klo,kalo
9569,tdk,tidak
9570,hrs,harus
9571,liatnya,lihatnya
9572,it,itu
9573,ap,apa
9574,yg,yang
9575,y,ya
9576,mnding,mending
9577,sm,sama
9578,aja,saja
9579,liat,lihat
9580,kaga,kagak
9581,liat,lihat
9582,yg,yang
9583,aj,saja
9584,uih,uh
9585,komenx,komennya
9586,"serem""",seram-seram
9587,yg,yang
9588,"happi""",hepi-hepi
9589,aza,saja
9590,sm,sama
9591,bgt,banget
9592,bgtuu,begitu
9593,ga,enggak
9594,yaa,ya
9595,g,enggak
9596,mff,maaf
9597,y,ya
9598,q,ku
9599,jd,jadi
9600,ktwa,ketawa
9601,liat,lihat
9602,fto,foto
9603,yg,yang
9604,yg,yang
9605,pke,pakai
9606,bngt,banget
9607,slh,salah
9608,x,kali
9609,yeee,ya
9610,abizzz,habis
9611,bnr2,benar-benar
9612,malu2in,malu-malui
9613,aj,saja
9614,sm,sama
9615,yg,yang
9616,bkin,bikin
9617,ngakak,mengakak
9618,mff,maaf
9619,y,ya
9620,q,ku
9621,trlalu,terlalu
9622,jjur,jujur
9623,klo,kalo
9624,ngmg,mengomong
9625,semogaa,semoga
9626,kepelesett,terpeleset
9627,kyk,kayak
9628,gt,begitu
9629,pake,pakai
9630,geeelaakk,gila
9631,salfok,salah fokus
9632,bolang,bocah petualang
9633,pkek,pakai
9634,pnjang,panjang
9635,pla,pula
9636,lg,lagi
9637,ma,sama
9638,emang,memang
9639,pake,pakai
9640,lagihh,lagi
9641,hedeuuhh,aduh
9642,stress,stres
9643,lama2,lama-lama
9644,saltummmm,salah kostum
9645,gak,enggak
9646,kaga,kagak
9647,nyambung,menyambung
9648,cwe,cewek
9649,ngakak,mengakak
9650,gini,begini
9651,gk,enggak
9652,mboizzz,bois
9653,jgn,jangan
9654,yg,yang
9655,suda,sudah
9656,ama,sama
9657,kayaq,kayak
9658,ihhh,ih
9659,ema,emak
9660,liat,lihat
9661,aja,saja
9662,gayany,gayanya
9663,engk,enggak
9664,bgt,banget
9665,gw,gue
9666,cepet,cepat
9667,bgt,banget
9668,bgt,banget
9669,kasian,kasihan
9670,org,orang
9671,g,enggak
9672,kerjaan,pekerjaan
9673,org,orang
9674,g,enggak
9675,ngaca,mengaca
9676,dirumahny,dirumahnya
9677,pd,pada
9678,g,enggak
9679,udah,sudah
9680,ga,enggak
9681,yg,yang
9682,ama,sama
9683,lgi,lagi
9684,yuh,tuh
9685,yg,yang
9686,ad,ada
9687,mlah,malah
9688,ktmu,ketemu
9689,fto,foto
9690,yg,yang
9691,rmbt,rambut
9692,yahh,ya
9693,liat,lihat
9694,gak,enggak
9695,liatnya,lihatnya
9696,yg,yang
9697,mrusak,merusak
9698,liat,lihat
9699,apus,hapus
9700,aja,saja
9701,yg,yang
9702,gara2,gara-gara
9703,yg,yang
9704,dunk,dong
9705,yg,yang
9706,yg,yang
9707,siapayahh,siapa ya
9708,bilangin,bilang
9709,pake,pakai
9710,kostom,kostum
9711,loo,lo
9712,ko,kok
9713,cewe,cewek
9714,ky,kaya
9715,gnii,begini
9716,pinter,pintar
9717,lucuuuu,lucu
9718,bangettttt,banget
9719,kyk,kayak
9720,gini,begini
9721,atuu,satu
9722,ngegemesin,menggemaskan
9723,gemes,gemas
9724,lohh,loh
9725,pipinyaaa,pipinya
9726,yaaa,ya
9727,kyk,kayak
9728,bgt,banget
9729,sm,sama
9730,pinginnn,pengin
9731,pinter,pintar
9732,bgt,banget
9733,bungkuuuuuuuuusss,bungkus
9734,iiiihhhhhj,ih
9735,emeessss,gemas
9736,nggak,enggak
9737,pipine,pipinya
9738,glembeeeer,gelambir
9739,bgt,banget
9740,lucunaaa,lucunya
9741,cubanget,lucu banget
9742,pengenn,pengin
9743,bgttt,banget
9744,bgt,banget
9745,lucuuuuu,lucu
9746,unyuuk,unyu
9747,bgd,banget
9748,dedek,adek
9749,lucunyah,lucunya
9750,mantaaap,mantap
9751,bingits,banget
9752,pesen,pesan
9753,dmana,dimana
9754,yg,yang
9755,keduaa,kedua
9756,engga,enggak
9757,engga,enggak
9758,sma,sama
9759,yg,yang
9760,trsrh,terserah
9761,ksih,kasih
9762,engga,enggak
9763,jgn,jangan
9764,orng,orang
9765,yha,ya
9766,kaka,kakak
9767,seterong,setrong
9768,teyuss,terus
9769,aja,saja
9770,gak,enggak
9771,ush,usah
9772,dimasukin,dimasuki
9773,klo,kalo
9774,yg,yang
9775,jelekin,menjelekkan
9776,aja,saja
9777,orng,orang
9778,yg,yang
9779,jahatin,menjahati
9780,jelekin,menjelekkan
9781,orng,orang
9782,gak,enggak
9783,ush,usah
9784,masukin,memasuki
9785,tai,tahi
9786,tai,tahi
9787,ajaa,saja
9788,ngapain,mengapa
9789,akn,akan
9790,gak,enggak
9791,ngomongnya,mengomongnya
9792,udh,sudah
9793,gk,enggak
9794,kyknya,kayaknya
9795,gtw,enggak tau
9796,aja,saja
9797,yg,yang
9798,omongin,omongkan
9799,qo,kok
9800,nulis,menulis
9801,klu,kalau
9802,gk,enggak
9803,knp,kenapa
9804,gk,enggak
9805,aja,saja
9806,g,enggak
9807,ngerti,mengerti
9808,aja,saja
9809,nyebutin,menyebutkan
9810,yg,yang
9811,gak,enggak
9812,aja,saja
9813,yg,yang
9814,dengerin,dengarkan
9815,gak,enggak
9816,bales,balas
9817,ngertiin,mengerti
9818,yg,yang
9819,rasaiin,rasai
9820,gakusah,enggak usah
9821,disni,disini
9822,slalu,selalu
9823,yg,yang
9824,cantiik,cantik
9825,kk,kakak
9826,dri,dari
9827,pda,pada
9828,yg,yang
9829,liat,lihat
9830,dri,dari
9831,org,orang
9832,aja,saja
9833,sabarrr,sabar
9834,semangaatttt,semangat
9835,gak,enggak
9836,dengerin,dengarkan
9837,gak,enggak
9838,gk,enggak
9839,tdk,tidak
9840,skrng,sekarang
9841,bener,benar
9842,nonton,menonton
9843,aj,saja
9844,scr,secara
9845,nyalahin,menyalahkan
9846,nyindir,menyindir
9847,bgt,banget
9848,bedain,membedakan
9849,bgt,banget
9850,bedainnya,membedakannya
9851,bgt,banget
9852,keknya,kayaknya
9853,dehhh,deh
9854,lbih,lebih
9855,krus,kurus
9856,dri,dari
9857,pda,pada
9858,bner,benar
9859,gaa,enggak
9860,drpd,daripada
9861,ka,kak
9862,bangeet,banget
9863,kk,kakak
9864,jg,juga
9865,bgt,banget
9866,liat,lihat
9867,aja,saja
9868,bgt,banget
9869,elaaaahhhh,alah
9870,kereenn,keren
9871,cogan,cowok ganteng
9872,cogan,cowok ganteng
9873,tap8,tapi
9874,imoet,imut
9875,ihh,ih
9876,nggak,enggak
9877,bosen,bosan
9878,pandanginya,memandanginya
9879,kakanya,kakaknya
9880,yg,yang
9881,kenaliiin,kenalkan
9882,sm,sama
9883,qu,ku
9884,banyak2,banyak-banyak
9885,yo,ya
9886,tauuu,tau
9887,awk,awak
9888,lgi,lagi
9889,suko,suka
9890,sm,sama
9891,org,orang
9892,niih,nih
9893,kk,kakak
9894,bgtt,banget
9895,sihhhh,sih
9896,udh,sudah
9897,"sebaik""",sebaik-baik
9898,org,orang
9899,org,orang
9900,ga,enggak
9901,ngomentarin,mengomentari
9902,org,orang
9903,laen,lain
9904,yg,yang
9905,blm,belum
9906,bener,benar
9907,ajah,saja
9908,udh,sudah
9909,dpt,dapat
9910,jd,jadi
9911,"masing""",masing-masing
9912,ikh,ih
9913,kyk,kayak
9914,gt,begitu
9915,g,enggak
9916,pantes,pantas
9917,pake,pakai
9918,yg,yang
9919,g,enggak
9920,gmn,bagaimana
9921,klo,kalo
9922,smpe,sampai
9923,nnti,nanti
9924,yg,yang
9925,ngomongnya,mengomongnya
9926,gt,begitu
9927,tu,itu
9928,segtu,sebegitu
9929,ngebenci,membenci
9930,ny,nya
9931,bakar2in,bakar-bakari
9932,slmt,selamat
9933,ank,anak
9934,smg,semoga
9935,sm,sama
9936,km,kamu
9937,ttp,tetap
9938,km,kamu
9939,padhe,pakde
9940,km,kamu
9941,yg,yang
9942,yya,ya
9943,yya,ya
9944,atw,atau
9945,klo,kalo
9946,jgn,jangan
9947,org,orang
9948,yg,yang
9949,dosa2mu,dosa-dosamu
9950,org,orang
9951,yg,yang
9952,maafin,memaafi
9953,gabisa,enggak bisa
9954,jd,jadi
9955,temen,teman
9956,ky,kaya
9957,muke,muka
9958,gile,gila
9959,pede,percaya diri
9960,bgd,banget
9961,ujung2,ujung-ujung
9962,jd,jadi
9963,lg,lagi
9964,d,di
9965,aj,saja
9966,dalem2,dalam-dalam
9967,kgak,kagak
9968,d,di
9969,bahas2,bahas-bahas
9970,jg,juga
9971,ud,sudah
9972,k,ke
9973,dy,dia
9974,skrg,sekarang
9975,mslh,masalah
9976,woles,selow
9977,aj,saja
9978,jd,jadi
9979,spt,seperti
9980,km,kamu
9981,hianatin,khianati
9982,dr,dari
9983,org,orang
9984,yg,yang
9985,tdk,tidak
9986,halangin,halangi
9987,dg,dengan
9988,iyuh,ih
9989,bngt,banget
9990,knp,kenapa
9991,iyuuuhhhh,ih
9992,gaje,enggak jelas
9993,jgn2,jangan-jangan
9994,gk,enggak
9995,gabakal,enggak bakal
9996,gitu,begitu
9997,aja,saja
9998,yg,yang
9999,org,orang
10000,jga,juga
10001,klo,kalo
10002,emang,memang
10003,adapin,menghadapi
10004,ga,enggak
10005,bnyak,banyak
10006,emang,memang
10007,ngehakimi,menghakimi
10008,gw,gue
10009,yg,yang
10010,th,tahun
10011,aja,saja
10012,ngerti,mengerti
10013,gmna,bagaimana
10014,ngejuangin,memperjuangkan
10015,gimana,bagaimana
10016,dipojokin,dipojokkan
10017,aja,saja
10018,kek,kayak
10019,idup,hidup
10020,udah,sudah
10021,bener,benar
10022,gw,gue
10023,yg,yang
10024,bacotin,bacoti
10025,udah,sudah
10026,berati,berarti
10027,dripada,daripada
10028,kebangetak,kebangetan
10029,klo,kalo
10030,gak,enggak
10031,tangkep,tangkap
10032,jg,juga
10033,d,di
10034,gitu,begitu
10035,dipake,dipakai
10036,bt,buat
10037,ngomong,mengomong
10038,gitu,begitu
10039,sadis2,sadis-sadis
10040,cowo,cowok
10041,yg,yang
10042,ga,enggak
10043,maksir,menaksir
10044,udh,sudah
10045,tp,tapi
10046,tetep,tetap
10047,hebatt,hebat
10048,nerima,menerima
10049,yaa,ya
10050,liht,lihat
10051,dr,dari
10052,pndang,pandang
10053,aja,saja
10054,sbagai,sebagai
10055,pmbelajaran,pembelajaran
10056,jugaa,juga
10057,orng,orang
10058,yg,yang
10059,bgt,banget
10060,bgt,banget
10061,gak,enggak
10062,ngejelek,menjelekkan
10063,yg,yang
10064,maslah,masalah
10065,pake,pakai
10066,mmperbaiki,memperbaiki
10067,aja,saja
10068,ud,sudah
10069,jd,jadi
10070,krn,karena
10071,klo,kalo
10072,utk,untuk
10073,temenan,berteman
10074,sm,sama
10075,mb,mbak
10076,aja,saja
10077,yg,yang
10078,nahan,menahan
10079,yg,yang
10080,jd,jadi
10081,jd,jadi
10082,yg,yang
10083,ga,enggak
10084,pnya,punya
10085,ga,enggak
10086,pny,punya
10087,ga,enggak
10088,pny,punya
10089,udh,sudah
10090,ngerebut,merebut
10091,yg,yang
10092,ga,enggak
10093,pny,punya
10094,dr,dari
10095,kafeh,kafe
10096,remang2,remang-remang
10097,mlh,malah
10098,nusuk,menusuk
10099,dr,dari
10100,tinggl,tinggal
10101,dirmh,dirumah
10102,lg,lagi
10103,mlh,malah
10104,yg,yang
10105,dr,dari
10106,tp,tapi
10107,gak,enggak
10108,ngaku,mengaku
10109,gmn,bagaimana
10110,mbaa,mbak
10111,gak,enggak
10112,mnta,minta
10113,klo,kalo
10114,gt,begitu
10115,byk,banyak
10116,yg,yang
10117,temen,teman
10118,nangis,menangis
10119,aja,saja
10120,pantes,pantas
10121,lbh,lebih
10122,dri,dari
10123,knp,kenapa
10124,yg,yang
10125,kale,kali
10126,yg,yang
10127,iyuuhhh,ih
10128,yg,yang
10129,cwo,cowok
10130,udah,sudah
10131,yg,yang
10132,udah,sudah
10133,mnjadi,menjadi
10134,ktika,ketika
10135,dipuja2,dipuja-puja
10136,ga,enggak
10137,kam,kamu
10138,cwe,cewek
10139,smoga,semoga
10140,km,kamu
10141,ngrasain,merasai
10142,yg,yang
10143,rasain,rasai
10144,tp,tapi
10145,aja,saja
10146,nonton,menonton
10147,aja,saja
10148,org,orang
10149,pesen,pesan
10150,aja,saja
10151,karna,karena
10152,ngurusin,mengurusi
10153,yeeee,ya
10154,ityl,itil
10155,hbs,habis
10156,gara2,gara-gara
10157,kyak,kayak
10158,marah2,marah-marah
10159,ma,sama
10160,gw,gue
10161,emang,memang
10162,wenak,enak
10163,sukak,suka
10164,ngarang,mengarang
10165,bnr,benar
10166,donk,dong
10167,gara2,gara-gara
10168,bgt,banget
10169,hdp,hidup
10170,ngga,enggak
10171,kek,kayak
10172,gini,begini
10173,ngehina,menghina
10174,aja,saja
10175,jg,juga
10176,kelas'a,kelasnya
10177,hadeeehhh,aduh
10178,yg,yang
10179,gak,enggak
10180,jing,anjing
10181,lg,lagi
10182,"abal""",abal-abal
10183,"kecil""",kecil-kecil
10184,ori,orisinal
10185,bgt,banget
10186,smua,semua
10187,yg,yang
10188,gtu,begitu
10189,kenceng,kencang
10190,jd,jadi
10191,jd,jadi
10192,kek,kayak
10193,"gtu""an",begitu-gituan
10194,klo,kalo
10195,gmanapun,bagaimanapun
10196,tetep,tetap
10197,aja,saja
10198,trims,terima kasih
10199,yah,ya
10200,kr,kira
10201,td,tadi
10202,nenek2,nenek-nenek
10203,taux,taunya
10204,cepet,cepat
10205,pantes,pantas
10206,aja,saja
10207,liat,lihat
10208,urat2nya,urat-uratnya
10209,ketarik,tertarik
10210,emang,memang
10211,ngorbanin,mengorbankan
10212,eksprsi,ekspresi
10213,gitulah,begitulah
10214,klo,kalo
10215,yg,yang
10216,gtu,begitu
10217,ga,enggak
10218,ga,enggak
10219,kyk,kayak
10220,klo,kalo
10221,yg,yang
10222,"foto""",foto-foto
10223,mamas,mas
10224,klo,kalo
10225,ngilangin,menghilangkan
10226,jg,juga
10227,ajah,saja
10228,gada,enggak ada
10229,bandingin,bandingkan
10230,yg,yang
10231,tua2,tua-tua
10232,ajah,saja
10233,bgt,banget
10234,kasian,kasihan
10235,cantik2,cantik-cantik
10236,yg,yang
10237,ketarik,tertarik
10238,pake,pakai
10239,terus2an,terus-terusan
10240,cepet,cepat
10241,udah,sudah
10242,udah,sudah
10243,gak,enggak
10244,liat2,lihat-lihat
10245,sampe,sampai
10246,liatnya,lihatnya
10247,waduhh,waduh
10248,"bawa""",bawa-bawa
10249,badingkan,membandingkan
10250,mba,mbak
10251,gtu,begitu
10252,yah,ya
10253,sampe,sampai
10254,gmana,bagaimana
10255,gtu,begitu
10256,kyk,kayak
10257,aja,saja
10258,sy,saya
10259,udah,sudah
10260,ga,enggak
10261,yah,ya
10262,aja,saja
10263,klo,kalo
10264,klo,kalo
10265,aja,saja
10266,udah,sudah
10267,yahh,ya
10268,bgmana,bagaimana
10269,udah,sudah
10270,aja,saja
10271,ga,enggak
10272,sy,saya
10273,ngakak,mengakak
10274,sy,saya
10275,ga,enggak
10276,ngehina,menghina
10277,mba,mbak
10278,aja,saja
10279,yg,yang
10280,gini,begini
10281,yg,yang
10282,ga,enggak
10283,ngurus,mengurus
10284,ga,enggak
10285,org,orang
10286,klo,kalo
10287,yg,yang
10288,trus,terus
10289,yg,yang
10290,yah,ya
10291,lanjutin,lanjutkan
10292,aja,saja
10293,org,orang
10294,yg,yang
10295,byk,banyak
10296,krn,karena
10297,org,orang
10298,yg,yang
10299,byk,banyak
10300,org,orang
10301,yg,yang
10302,ributin,meributkan
10303,cwo,cowok
10304,cwo,cowok
10305,brantem,berantem
10306,gara2,gara-gara
10307,belain,membela
10308,kek,kayak
10309,gitu,begitu
10310,keliatan,kelihatan
10311,lipetan,lipatan
10312,kek,kayak
10313,gitu,begitu
10314,keliatan,kelihatan
10315,lipetan,lipatan
10316,ngomong,mengomong
10317,yg,yang
10318,g,enggak
10319,ampuun,ampun
10320,yya,ya
10321,sya,saya
10322,mba,mbak
10323,fto,foto
10324,sm,sama
10325,"nenek""",nenek-nenek
10326,bneraan,benaran
10327,kageeet,kaget
10328,sangaaattt,sangat
10329,rmbuut,rambut
10330,nenek2,nenek-nenek
10331,km,kamu
10332,nt,nanti
10333,walik,balik
10334,sma,sama
10335,emg,memang
10336,oma2,oma-oma
10337,kirain,mengira
10338,skrng,sekarang
10339,bgt,banget
10340,knp,kenapa
10341,d,di
10342,kyk,kayak
10343,nenek2,nenek-nenek
10344,in,ini
10345,kellen,kalian
10346,y,ya
10347,beneran,benaran
10348,mbk,mbak
10349,kyk,kayak
10350,sm,sama
10351,nyerocos,mencerocos
10352,aje,saja
10353,ibuk2,ibu-ibu
10354,gak,enggak
10355,ngomenin,mengomentari
10356,iseng2,iseng-iseng
10357,aja,saja
10358,tp,tapi
10359,gk,enggak
10360,nyangka,menyangka
10361,makasih,terima kasih
10362,yaaa,ya
10363,ga,enggak
10364,udah,sudah
10365,niyyyyhhhh,nih
10366,yg,yang
10367,besarin,membesarkan
10368,yg,yang
10369,yg,yang
10370,yg,yang
10371,cantik2,cantik-cantik
10372,mlah,malah
10373,kek,kayak
10374,gak,enggak
10375,sexi2,seksi-seksi
10376,blh,boleh
10377,pkai,pakai
10378,blik,balik
10379,kk,kakak
10380,cb,coba
10381,kenape,kenapa
10382,yg,yang
10383,kkak,kakak
10384,syg,sayang
10385,jgn,jangan
10386,ladenin,meladeni
10387,org,orang
10388,yg,yang
10389,bkin,bikin
10390,kkak,kakak
10391,jdi,jadi
10392,skit,sakit
10393,hat,hati
10394,kkak,kakak
10395,syg,sayang
10396,kkak,kakak
10397,bnyak,banyak
10398,kkak,kakak
10399,jilbabnye,jilbabnya
10400,kk,kakak
10401,ledkin,meledeki
10402,tpi,tapi
10403,yah,ya
10404,digabtikan,digantikan
10405,yg,yang
10406,skrg,sekarang
10407,jng,jangan
10408,ngumung,mengomong
10409,dikemanain,dikemanakan
10410,ilang-in,hilangkan
10411,udh,sudah
10412,bener,benar
10413,pake,pakai
10414,dri,dari
10415,pda,pada
10416,ga,enggak
10417,pke,pakai
10418,ny,nya
10419,ga,enggak
10420,ga,enggak
10421,prinadi,pribadi
10422,org,orang
10423,lahh,lah
10424,luh,lu
10425,yep,ya
10426,dri,dari
10427,u,lu
10428,"ngaku""",mengaku-ngaku
10429,aja,saja
10430,helooooo,halo
10431,ngaku,mengaku
10432,aja,saja
10433,gak,enggak
10434,u,lu
10435,loe,lo
10436,emang,memang
10437,yaa,ya
10438,rempong,repot
10439,org,orang
10440,sndiri,sendiri
10441,ud,sudah
10442,bener,benar
10443,aja,saja
10444,masi,masih
10445,aja,saja
10446,palingann,palingan
10447,berjinah,berzina
10448,munaafikk,munafik
10449,urusn,urusan
10450,org,orang
10451,mw,mau
10452,pk,pakai
10453,kaga,kagak
10454,benar2,benar-benar
10455,aja,saja
10456,mba,mbak
10457,gak,enggak
10458,dg,dengan
10459,saudra,saudara
10460,trganggu,terganggu
10461,kk,kakak
10462,bhijab,berhijab
10463,lgi,lagi
10464,rmbut,rambut
10465,km,kamu
10466,dn,dan
10467,yuu,yuk
10468,dlm,dalam
10469,hri,hari
10470,lepasin,melepas
10471,pokonya,pokoknya
10472,lucuuuu,lucu
10473,d,di
10474,smentara,sementara
10475,ka,kak
10476,d,di
10477,aja,saja
10478,d,di
10479,yg,yang
10480,ka,kak
10481,ga,enggak
10482,ka,kak
10483,ka,kak
